host_id,host_name,calculated_host_listings_count
107434423,Blueground,713
3223938,Eugene,589
305240193,June,348
19303369,Hiroki,267
496944100,RoomPicks,259
162280872,Urban Furnished,256
200239515,Shogo,249
204704622,Momoyo,236
496932087,Reservations,201
501999278,RoomPicks,185
22541573,Furnished Quarters,164
51501835,Jeniffer,139
61391963,Stay With Vibe,133
25138314,RoomPicks By Antony,131
174792040,RoomPicks By Victoria,118
137358866,Kaz,93
2867137,Avi,91
219517861,Sonder (NYC),84
120762452,Stanley,83
424296351,Michael,69
23772724,The Local Stay,68
326084746,Suiteness,68
533234561,Tina,67
113723310,MyNyHousing,60
26377263,Dr.Julien,56
401202937,Eliza,55
51548122,Jeniffer,55
2119276,Urban Furnished,54
348619646,Nomad,53
448326434,Boomerang,52
30283594,Global Luxury Suites,52
17775359,Rove,52
450580547,Hannah M.,47
384532776,Nathan,44
9293730,Inna,44
423873487,Shoreham,44
27181542,Jt,44
407304997,Boomerang,38
278925199,Paradise Suites,37
484277630,Bugra Han,36
385129361,Central Park Apartments,35
438952657,Gisele,35
215565541,LuxUrban,35
415840703,Anyplace,34
50760546,CRNY Monthly Rentals,33
190154361,Sveta,33
51589519,Noomi,32
341908723,Aleph,32
13347167,AFI Apartments,31
401709949,Daniela & James,31
489756011,Wapt,30
384559808,Best Inns USA,30
514336590,Reservation,30
417504,The Box House Hotel,30
520207720,Shkedy,29
381698920,Hudson,28
380601266,Jeremy,27
399865453,Fenix,27
267272502,MedHousing,26
435938215,Hudson River,26
171697479,Aamer,25
163362268,Reservation Desk,24
483056418,Kristina,23
5615582,RoomPicks,23
284337887,Eibhlin,23
211549023,Studioplus,23
28260018,Bp Stays.,22
16480700,Geo And Alex,22
26349246,Jose,22
408979935,Koichi,21
40385488,Address In NYC,21
5735865,Usquire,20
460919458,David,20
533292672,Kristina,20
336064553,Jose,20
67985770,Alex,19
276878527,Fad,19
19408645,Shaun,19
307001589,Kristina,19
395671107,Esplanade 99,19
546370,Ekaterina,19
9864136,Anthony,19
87639559,Jemar Ira,18
336581747,Matt,18
7503643,Vida,18
3250450,Petya,18
501999514,RoomPicks,18
450161902,Natalie,18
270122518,An Artful Hotel,18
487732432,Mova,18
38592279,Vk,18
16437254,Benjamin,17
35491667,Nat,17
470859718,SoHoBlu,17
10149317,Lana,17
456589439,House Lynk,17
30532557,Eibhlin,17
488737581,Leo,17
411740512,Historic Blue Moon,17
7245581,Michael,16
176950173,Aka,16
83786650,Bridge,16
5162192,Amy,16
224047081,Alexander,16
489957624,Fernando,15
40523974,Yael,15
83143535,Michelle,15
420415528,Placemakr Wall Street,15
435050037,Abdo,15
271275048,Isaac,15
9419684,Churchill,14
266797018,Sohotel,14
373522899,The William Vale,14
47554473,Henry Norman,14
146345538,Kristina,13
130289593,Ted,13
241676154,Maria,13
2822805,Ollie,13
17649482,Haus,13
263720409,Nesva Hotel,13
74488815,Karen,13
303020032,David,13
32368779,Emma,13
388603242,Henri,13
70636634,Allia,13
133802988,Alex & Vlada,13
446165216,Robin,13
159355723,Outsite,13
260618374,The Knickerbocker,13
342060071,Alicia,13
243288727,Matt,13
10387090,Luis Enrique,12
159598333,Sol,12
241889662,Incentra Village Guest House,12
257802323,Dennis,12
240298366,Ben,12
17770287,Nina,12
215759678,Andrew,12
465866457,Wei,12
481452777,Jude,12
22129776,Ali,12
29582882,Jerry & Lynn,12
397598833,Gus,12
491198242,Mauricio Mateo,12
396629612,Outpost Club,12
457828432,Mohammed,12
447283837,Shemi,12
501064484,Kristina,12
440316434,Outpost Club,11
411034737,Peter,11
5962328,Alan,11
170568130,Ignacio,11
458591926,Menachem,11
306009315,Hotel Belleclaire,11
380332619,Casey,11
39648442,Alice,11
480603123,Angel,11
465579714,Eduard,11
158969505,Untitled,11
124028462,Outpost Club,11
488855227,Leo,11
545416054,Charles,10
165776960,Raanan,10
257995608,Arlo SoHo,10
420088913,Hershey,10
352710338,Alex,10
468947930,Emi,10
836168,Henry,10
220229838,Chamber Hotel,10
259169672,Arlo NoMad,10
35524316,Akiko & Cindy,10
482399278,Ivan,10
224815152,Hudson River,10
212484716,Smyth Tribeca,10
231281049,The Manhattan Club,10
289122184,Karen,10
450443676,Welcome To Excellent Homes,10
504784779,Anastasia,10
284548162,Anastasia,10
10194781,Bruce,10
149768346,Masaaki,10
476218709,Kristina,10
4852748,Michelle,10
335572103,Outpost Club,10
1556814,Tammy,10
394144623,Kristina,10
262985820,48Lex,9
268598785,Hotel 32 32,9
209279462,Rodrigo,9
401096854,Jonatah,9
406175571,Alex,9
211136294,Sharon,9
334376746,Leo,9
283057520,Max,9
2930761,Dee,9
19758179,Telmo,9
206778021,Vanessa,9
185979641,Ralph,9
393897747,Stay And Smile,9
391726093,Belisa,9
293264001,Anastasia,9
244817841,Aminul,9
476583892,Gus,9
493024482,Outpost Club,9
271308645,NoMo SoHo,9
23533897,Fatou,9
95303084,David,9
216235179,Kristina,9
37883321,Lionel,9
443243931,Alex,9
8309060,Julia,9
24273714,Aracelis,9
512834300,Jian Kun,9
479275106,Cindy,9
33817836,Eric,9
94214493,Dadrine,9
1171497,Yvette,9
308799237,Lucy,9
490412669,Haim Shlomo,9
463464923,Manuel,9
431476577,Leo,9
476568387,Nice Stay NYC,9
204539,Mark,9
260577152,Royalton Park Avenue,9
430520580,Anastasia,9
45416627,Lolita,9
290279825,Meiron,9
305327549,NoVu,9
536808429,Kristina,9
383332265,Tyler,9
468527022,JG Sohotel,8
401277068,Yotel New York,8
314151200,The Wall Street Inn,8
436311597,Devora,8
40176101,Brady,8
8792814,Carlene,8
455683614,Ǧani,8
371795453,Outpost Club,8
502440822,Alex,8
3491890,George Steven,8
205760,Shai,8
293753583,Pod,8
204348856,Ellie And Jeff,8
241336565,Mike,8
261761719,WestHouse,8
45600001,Amy,8
136024214,Gabriel,8
30065089,The Flat Hotel,8
413485013,David,8
125620407,Ahnaf,8
489878101,Megan,8
517568992,Jing,8
306001668,The Frederick Hotel,8
480704914,Ray,8
406193264,Manuel,8
30045574,Barry,8
231138233,Filiz,8
291033670,Anastasia,8
22254869,Juan,8
31534322,Nia,8
15145088,Izi,8
421089506,Ny,8
20912691,Jeff,8
228879817,Cindy,8
363928053,Chida,8
37821056,Nichole,8
197053492,Mint House At 70 Pine,8
402215343,Dali,8
33320745,Daniel,8
158181451,Sophia,8
33867639,Amiee,8
151084261,Frank,8
137129564,Bing,8
314533486,John J.,8
24146326,Julien,8
417806601,Seabelo,8
49704571,Krzysztof,8
1033970,Sacred Space Style,8
25414207,Brooklyn P,8
224733902,CozySuites Copake,8
356623718,Aicha,8
153340219,Wanly,8
303133969,Leo,8
397872858,M,8
433203831,Vicky,8
404355372,Kay,8
243489304,Jack,8
1997143,Louis,8
494585533,Norbert,8
48866651,Nissim,8
537729916,Lakhwinder,8
467996701,Anthony,8
263504959,David,8
29582232,Lee,8
423535172,Justa,8
505240543,Jamerson,8
176950781,Aka Times Square,8
156583372,Patrick,8
441793133,Ioannis,8
107953084,Ervita,7
421108644,Outpost Club,7
295247374,Rafael,7
51913277,Andrada,7
32060911,Ervis,7
48593753,Georgia,7
10633027,Sam,7
525450542,Ahmet,7
137522531,Ali,7
491189157,Stellamaris,7
1339545,Nina,7
27636707,Gaia&Pietro,7
350252704,Anthony And Elle,7
258289017,Umme Salma,7
547418378,The James New York - NoMad,7
15617507,Glicerda,7
27673980,Amy,7
385750812,Lau,7
261761196,Park Central,7
161899037,Tony,7
259066380,Marios,7
517401760,Ruth,7
57782700,Eduard,7
360085932,The Williamsburg Apartment,7
15231059,Apollo,7
95344065,Derek,7
1261480,Doungrat,7
517551178,Lisa,7
429941031,Jennaya,7
35783912,Lee And Lu,7
424334449,Marcelo,7
50997424,Mark,7
43825074,Masud,7
177174475,Alberto Fernando,7
77063818,Angela,7
489124684,Briana,7
47782497,Debbie,7
261750091,The Michelangelo,7
382617662,Jake,7
344299101,Roberto,7
183178516,Lucky Day Realty Corp.,7
262224408,NU Hotel,7
242924411,James And Laureta,7
462961904,Meraj,7
49108760,Blue Angel Hotel,7
9743617,Patricia,7
440274210,Eve,7
3660702,Greg,7
35998113,Jo'S Home,7
537135281,Casa Del Sogno,7
1475015,Mike,7
63417081,Devon,7
95570540,Ilene,7
435369966,Millennium Downtown,7
487803588,Alessandro,7
345938275,Outpost Club,7
2219255,Natalie,7
208667188,Nina,7
55922753,Jessica,7
110008554,Soohyun,7
378112960,Elevate Properties,7
229274328,Theresa,7
305387117,UltraDiamond,7
32164030,Ikkyukim,7
260861596,ModernHaus SoHo,7
306996701,The Evelyn Hotel,6
428639770,Daniel,6
397160899,Arlo,6
2790890,Phil,6
381486556,Kahdeja,6
450814519,Nomam,6
45400201,Shauna,6
480637402,Terry,6
309612914,Abeer,6
32167398,Meela,6
194940666,Quality,6
471548508,Maria,6
29358602,Lillian,6
373790863,Anastasia,6
326434148,Kris,6
276647857,Sukhwinder,6
470173109,Irina,6
27741331,Lyn,6
12866178,Klara,6
26556695,Justin And Alyssa,6
231870747,Ozzy,6
485546644,Shanie,6
417166424,Millennium Broadway,6
429095657,Aurgho,6
42814202,Irina,6
478260569,Yvonne,6
156047478,Doron,6
194142632,Ori,6
377647905,Emmory,6
139357580,Shuly,6
58234433,Jose,6
496566805,Leo,6
335941702,Molik,6
501134743,George,6
5853457,Stanley,6
131476075,Lakisha,6
46167132,NYC Rentals,6
26405086,Sunny,6
3656008,Ivanna,6
205745676,Liqin,6
24715671,Julia,6
408016532,Phar'Victor,6
56283770,Lia,6
478513445,Santiago,6
493207893,Leo,6
80479138,Gordon,6
41464891,Emmanuel,6
49164956,Abena,6
143882962,Sean,6
3716641,Ofer,6
295128,Carol Gloria,6
203982404,Armande,6
391286807,Anastasia,6
214347105,Beekman,6
429935341,Criss,6
26535250,Sheila,6
4483467,Daniel,6
395965505,Larry,6
428141360,Anastasia,6
175019394,Suzan,6
495796281,Bella,6
303156931,Leo,6
182980197,Jampa,6
32908315,Val,6
619942,Anastasia,6
240078487,Steven,6
4888892,Darina,6
18057505,Michael,6
3562322,Lord Daniel,6
416756899,Jozef,6
42676520,Andrew,6
432233993,Bruce,6
492711196,Ash,6
180277260,Yahira,6
48684597,David,6
488152765,Shayara,6
292630,Mich,6
112901574,Nate,6
35935,Angela,6
430121024,Leo,6
284126288,Xin,6
402187116,James&Laureta,6
62130077,My Best Home,6
6724578,Bi,6
81335,Evan,6
417275418,Mia,6
203266238,Steve,6
97328229,Jaime,6
75248463,Jotham,6
144008701,Ozzy,6
47430022,Tara,6
421007927,Danilo,6
36793116,Mighty Tree Properties,6
340038896,Millennium Premier,6
121399223,Weifeng,6
302903408,Bond Townhouse,6
10415675,Yao & Rain,6
66326553,Pierre,6
420297717,Joseph,6
305489297,Stavros,6
238750007,Hamilton,6
223087887,Christian,6
505279264,Mohammad,5
141931484,Xie,5
5704932,Victor,5
342002500,Rian,5
890215,Duane,5
266989293,The Collective Paper Factory Hotel,5
471441645,Dyar,5
494285165,Kristina,5
37046945,SoCo Property,5
2368191,Lexia,5
44851966,Joseph,5
251842,Virginie,5
440469367,Anastasia,5
51426218,Mary,5
209460,Marylyn Palmer,5
306349662,Ridgewood,5
47900722,Sagee,5
142352236,Carolyn,5
371421385,Patrick,5
231468237,David And Natalia,5
433145666,Anna,5
523760774,Joseph,5
23909763,Elena,5
492149141,Jonathan,5
445169561,Tania,5
469102619,Aron,5
3530446,Maurice,5
56916811,Dario,5
424738135,Martha,5
21170120,Nina,5
223917190,Annette,5
